Pozo,Fecha,Produccion_Barriles,Presion_PSI,Temperatura_C,Agua_Producida_Barriles,Estado
Pozo A,2022-06-06,1907,2503,90.98,123,Cerrado
Pozo C,2022-01-15,1595,2390,102.07,425,Cerrado
Pozo E,2022-01-19,1073,2381,70.11,221,Mantenimiento
Pozo D,2022-05-27,1652,2002,80.38,393,Cerrado
Pozo A,2022-12-26,1992,2232,64.17,482,Mantenimiento
Pozo E,2022-03-08,1443,2384,87.57,229,Cerrado
Pozo E,2022-05-04,911,2657,110.09,400,Cerrado
Pozo A,2022-11-02,1463,2753,96.05,151,Operando
Pozo E,2022-07-22,1510,2609,113.8,333,Cerrado
Pozo C,2022-09-18,1211,2037,70.45,485,Cerrado
Pozo A,2022-09-22,971,2069,85.15,454,Cerrado
Pozo A,2022-02-15,1650,2628,113.35,278,Operando
Pozo C,2022-11-07,1311,2614,109.72,282,Mantenimiento
Pozo E,2022-04-05,2020,2645,87.33,457,Cerrado
Pozo A,2022-03-30,2087,2026,97.11,481,Mantenimiento
Pozo C,2022-03-04,1634,2086,106.4,433,Cerrado
Pozo D,2022-05-29,2182,2167,112.28,181,Mantenimiento
Pozo C,2022-11-07,826,2629,75.06,355,Operando
Pozo C,2022-02-19,1187,2745,93.43,323,Mantenimiento
Pozo B,2022-10-16,1783,2660,95.89,353,Operando
Pozo A,2022-05-23,936,2732,119.09,116,Operando
Pozo C,2022-07-30,1222,2316,115.0,101,Operando
Pozo C,2022-04-11,2090,2522,66.39,257,Cerrado
Pozo B,2022-03-25,1320,2668,80.41,348,Cerrado
Pozo C,2022-08-05,1443,2478,104.86,121,Mantenimiento
Pozo B,2022-02-02,1621,2161,67.72,339,Mantenimiento
Pozo D,2022-12-27,1225,2601,69.33,376,Operando
Pozo B,2022-06-30,2183,2001,104.15,272,Operando
Pozo A,2022-07-29,1829,2683,60.91,197,Cerrado
Pozo D,2022-05-12,1652,2318,119.18,369,Mantenimiento
Pozo A,2022-08-22,2199,2091,71.3,50,Cerrado
Pozo E,2022-12-25,1187,2045,111.29,195,Cerrado
Pozo C,2022-05-31,842,2427,113.9,243,Mantenimiento
Pozo C,2022-07-19,1369,2018,97.41,391,Cerrado
Pozo E,2022-03-15,2123,2472,116.32,468,Cerrado
Pozo A,2022-09-11,947,2365,115.56,286,Mantenimiento
Pozo B,2022-05-16,1649,2046,101.59,194,Mantenimiento
Pozo D,2022-06-13,1619,2786,65.43,162,Mantenimiento
Pozo D,2022-04-15,1313,2224,79.17,409,Mantenimiento
Pozo D,2022-03-01,2106,2711,72.47,117,Cerrado
Pozo B,2022-09-16,1906,2677,78.0,388,Mantenimiento
Pozo B,2022-08-08,928,2468,108.53,353,Mantenimiento
Pozo D,2022-09-24,1460,2526,82.99,274,Cerrado
Pozo D,2022-04-26,1630,2173,84.61,164,Operando
Pozo D,2022-06-14,2040,2056,106.16,365,Mantenimiento
Pozo E,2022-11-25,1398,2114,85.35,220,Mantenimiento
Pozo D,2022-05-29,1785,2531,85.34,287,Operando
Pozo C,2022-12-11,1485,2535,112.13,161,Mantenimiento
Pozo D,2022-03-13,1980,2199,111.53,68,Mantenimiento
Pozo C,2022-10-14,1756,2345,65.0,400,Mantenimiento
Pozo D,2022-11-09,1789,2750,60.31,395,Operando
Pozo B,2022-04-26,1841,2791,114.8,364,Cerrado
Pozo C,2022-08-30,1093,2710,85.4,453,Cerrado
Pozo B,2022-10-02,1602,2215,100.74,432,Operando
Pozo D,2022-11-10,2148,2436,74.06,496,Mantenimiento
Pozo C,2022-04-15,1788,2113,118.38,307,Operando
Pozo B,2022-01-26,811,2073,93.66,211,Cerrado
Pozo A,2022-11-22,2051,2580,94.6,435,Cerrado
Pozo A,2022-08-03,1538,2057,88.24,217,Mantenimiento
Pozo B,2022-06-07,1947,2706,75.09,311,Operando
Pozo D,2022-12-10,1136,2073,88.02,81,Mantenimiento
Pozo C,2022-02-11,1603,2055,102.47,456,Mantenimiento
Pozo A,2022-01-06,1495,2425,79.79,421,Cerrado
Pozo A,2022-08-03,1152,2504,112.01,318,Mantenimiento
Pozo E,2022-12-23,958,2588,114.05,128,Mantenimiento
Pozo A,2022-02-26,866,2596,70.9,167,Mantenimiento
Pozo A,2022-04-21,988,2395,114.99,108,Mantenimiento
Pozo E,2022-08-14,1307,2738,68.13,140,Operando
Pozo B,2022-07-31,989,2375,87.18,154,Cerrado
Pozo D,2022-09-11,1076,2072,92.68,487,Operando
Pozo C,2022-08-11,2087,2302,101.8,155,Cerrado
Pozo E,2022-12-30,1435,2083,111.47,203,Operando
Pozo C,2022-05-18,1630,2400,97.22,303,Cerrado
Pozo E,2022-07-16,1401,2011,114.18,176,Cerrado
Pozo D,2022-02-27,1459,2380,114.64,288,Operando
Pozo A,2022-07-12,2007,2294,97.38,118,Cerrado
Pozo A,2022-09-01,1729,2373,77.83,212,Mantenimiento
Pozo D,2022-03-18,1126,2247,116.65,260,Cerrado
Pozo A,2022-09-29,933,2679,117.39,79,Cerrado
Pozo D,2022-03-17,1548,2534,110.46,197,Cerrado
Pozo A,2022-05-29,948,2222,85.21,223,Mantenimiento
Pozo B,2022-09-02,1511,2446,88.68,144,Cerrado
Pozo B,2022-08-10,2158,2034,84.67,343,Mantenimiento
Pozo C,2022-07-15,1165,2392,86.76,490,Operando
Pozo E,2022-10-24,1234,2320,63.96,299,Mantenimiento
Pozo D,2022-06-13,1720,2373,74.82,127,Mantenimiento
Pozo D,2022-09-15,1705,2614,112.65,169,Operando
Pozo A,2022-08-02,1343,2545,103.68,491,Cerrado
Pozo A,2022-10-24,2063,2398,103.74,274,Cerrado
Pozo B,2022-06-11,1531,2780,85.72,370,Operando
Pozo D,2022-01-25,1690,2418,119.08,209,Mantenimiento
Pozo A,2022-04-03,2050,2347,70.37,265,Cerrado
Pozo A,2022-10-25,1728,2278,68.68,326,Cerrado
Pozo D,2022-02-28,928,2437,82.94,319,Operando
Pozo D,2022-01-15,1436,2005,65.24,232,Cerrado
Pozo E,2022-05-23,1985,2659,79.51,53,Operando
Pozo A,2022-11-14,1260,2537,66.78,468,Operando
Pozo C,2022-03-12,1786,2497,119.51,235,Cerrado
Pozo C,2022-01-10,1728,2264,77.36,330,Cerrado
Pozo B,2022-07-01,1391,2102,84.98,202,Mantenimiento
Pozo A,2022-02-02,1385,2189,110.66,79,Cerrado
Pozo E,2022-07-10,1152,2709,119.54,473,Cerrado
Pozo B,2022-01-29,854,2601,61.89,372,Mantenimiento
Pozo C,2022-10-02,975,2315,92.35,53,Operando
Pozo A,2022-06-30,1179,2186,66.52,445,Mantenimiento
Pozo B,2022-07-08,1870,2358,76.85,473,Operando
Pozo D,2022-06-21,1384,2280,75.9,270,Mantenimiento
Pozo E,2022-08-12,1903,2699,96.62,67,Operando
Pozo C,2022-12-07,2034,2731,89.84,262,Cerrado
Pozo C,2022-12-16,851,2687,100.58,160,Cerrado
Pozo E,2022-10-11,1344,2356,104.96,281,Cerrado
Pozo A,2022-02-17,1719,2341,89.79,286,Mantenimiento
Pozo D,2022-10-05,838,2141,116.56,399,Operando
Pozo C,2022-01-21,1996,2476,118.64,64,Mantenimiento
Pozo E,2022-05-23,1130,2104,103.73,224,Operando
Pozo B,2022-08-15,884,2748,82.18,224,Operando
Pozo C,2022-06-05,1426,2380,107.83,364,Operando
Pozo E,2022-07-25,1782,2779,108.3,407,Mantenimiento
Pozo E,2022-08-09,2016,2702,117.8,205,Operando
Pozo C,2022-01-20,1494,2367,103.18,314,Operando
Pozo B,2022-06-22,1492,2735,119.4,272,Operando
Pozo A,2022-08-15,1883,2078,98.49,297,Mantenimiento
Pozo B,2022-07-05,1421,2514,102.91,294,Mantenimiento
Pozo C,2022-04-07,1916,2715,62.42,446,Cerrado
Pozo B,2022-01-15,1213,2432,109.83,108,Cerrado
Pozo A,2022-12-06,815,2315,113.05,429,Mantenimiento
Pozo C,2022-09-22,2180,2370,72.68,293,Operando
Pozo B,2022-08-28,1427,2258,89.62,230,Cerrado
Pozo B,2022-05-11,1391,2412,96.0,220,Cerrado
Pozo E,2022-04-09,816,2111,69.78,164,Operando
Pozo A,2022-06-03,971,2561,90.69,211,Cerrado
Pozo A,2022-10-08,1463,2399,81.71,140,Mantenimiento
Pozo A,2022-10-04,2166,2238,103.1,450,Mantenimiento
Pozo A,2022-02-26,1806,2124,115.7,326,Mantenimiento
Pozo A,2022-10-16,916,2612,95.36,92,Mantenimiento
Pozo B,2022-02-26,1872,2258,72.01,324,Cerrado
Pozo C,2022-06-12,1896,2208,98.59,66,Cerrado
Pozo A,2022-11-07,1728,2350,108.98,417,Mantenimiento
Pozo A,2022-09-11,2136,2326,61.98,417,Mantenimiento
Pozo B,2022-02-07,1269,2483,76.36,153,Cerrado
Pozo A,2022-05-03,1786,2559,76.0,288,Mantenimiento
Pozo E,2022-03-24,2055,2574,96.34,171,Mantenimiento
Pozo B,2022-10-07,1283,2259,112.63,208,Operando
Pozo C,2022-12-09,2048,2018,98.77,77,Operando
Pozo B,2022-03-16,1818,2464,74.56,82,Cerrado
Pozo B,2022-10-08,1414,2389,62.89,167,Mantenimiento
Pozo B,2022-05-13,1678,2431,97.27,176,Mantenimiento
Pozo D,2022-03-21,1288,2320,89.62,473,Mantenimiento
Pozo B,2022-06-06,2054,2073,115.87,140,Operando
Pozo B,2022-10-01,1093,2311,73.05,134,Operando
Pozo A,2022-09-25,2002,2686,82.69,72,Mantenimiento
Pozo D,2022-10-04,1667,2446,102.49,361,Operando
Pozo D,2022-02-06,1831,2615,72.82,170,Mantenimiento
Pozo B,2022-09-12,882,2110,105.55,225,Mantenimiento
Pozo B,2022-07-01,956,2640,63.47,420,Mantenimiento
Pozo B,2022-11-05,1957,2336,74.2,148,Cerrado
Pozo E,2022-10-30,1983,2382,116.87,122,Cerrado
Pozo D,2022-04-18,913,2723,67.16,79,Cerrado
Pozo D,2022-01-27,1211,2196,78.93,421,Mantenimiento
Pozo D,2022-03-18,1796,2382,68.82,332,Mantenimiento
Pozo B,2022-05-07,1622,2171,115.81,429,Cerrado
Pozo A,2022-08-24,1594,2221,116.66,116,Cerrado
Pozo E,2022-03-26,1654,2440,86.44,197,Cerrado
Pozo B,2022-03-08,1968,2439,71.91,357,Mantenimiento
Pozo E,2022-01-20,1304,2043,81.88,481,Mantenimiento
Pozo D,2022-09-02,820,2059,93.62,107,Mantenimiento
Pozo B,2022-03-07,1322,2544,78.53,96,Operando
Pozo A,2022-09-26,1163,2375,67.73,472,Operando
Pozo A,2022-09-08,1750,2503,95.61,357,Operando
Pozo D,2022-08-02,1792,2153,107.09,130,Cerrado
Pozo B,2022-05-03,849,2410,74.85,380,Operando
Pozo B,2022-12-24,1271,2384,65.98,493,Cerrado
Pozo C,2022-10-10,965,2162,94.31,151,Cerrado
Pozo B,2022-06-13,890,2167,70.64,160,Cerrado
Pozo D,2022-01-24,1041,2750,86.84,473,Cerrado
Pozo C,2022-04-19,2100,2272,85.19,488,Mantenimiento
Pozo B,2022-01-20,2072,2217,92.54,369,Mantenimiento
Pozo E,2022-09-25,1376,2209,77.75,54,Mantenimiento
Pozo A,2022-05-11,2012,2792,107.64,393,Mantenimiento
Pozo B,2022-04-05,1121,2454,70.12,385,Cerrado
Pozo D,2022-12-04,1408,2142,105.64,461,Operando
Pozo C,2022-12-24,1600,2219,64.77,142,Operando
Pozo A,2022-07-25,1923,2681,100.71,465,Cerrado
Pozo C,2022-03-02,951,2245,114.38,428,Operando
Pozo B,2022-01-29,937,2752,80.6,84,Mantenimiento
Pozo D,2022-05-14,1162,2600,116.41,490,Operando
Pozo D,2022-12-09,834,2068,71.46,165,Cerrado
Pozo D,2022-10-21,2196,2060,113.79,427,Mantenimiento
Pozo B,2022-05-10,983,2031,79.34,371,Cerrado
Pozo D,2022-06-01,904,2681,66.49,211,Mantenimiento
Pozo D,2022-07-07,922,2578,93.09,405,Cerrado
Pozo A,2022-01-12,1806,2080,97.01,82,Mantenimiento
Pozo E,2022-01-03,1021,2615,90.93,452,Operando
Pozo D,2022-12-31,1087,2706,64.25,64,Cerrado
Pozo E,2022-02-01,2074,2596,102.4,426,Cerrado
Pozo A,2022-03-22,1634,2053,72.7,346,Operando
Pozo C,2022-08-11,1726,2072,63.97,242,Cerrado
Pozo D,2022-01-17,1741,2616,93.56,283,Operando
Pozo A,2022-02-06,1400,2635,93.29,253,Cerrado
Pozo D,2022-04-04,872,2415,103.27,166,Operando
Pozo D,2022-05-24,1243,2498,119.51,98,Cerrado
Pozo A,2022-07-01,2123,2459,68.58,428,Cerrado
Pozo B,2022-08-12,1465,2067,94.7,221,Operando
Pozo B,2022-07-12,1367,2094,111.88,50,Operando
Pozo A,2022-01-29,2109,2294,81.99,348,Operando
Pozo C,2022-04-20,2083,2123,115.7,72,Cerrado
Pozo E,2022-04-25,1408,2723,79.09,86,Mantenimiento
Pozo C,2022-07-29,1370,2507,63.6,490,Cerrado
Pozo C,2022-06-22,1802,2744,64.89,258,Operando
Pozo E,2022-07-25,1517,2076,119.65,396,Mantenimiento
Pozo A,2022-07-25,1402,2274,80.93,346,Cerrado
Pozo D,2022-11-21,1598,2269,66.0,163,Operando
Pozo C,2022-06-26,911,2286,60.71,283,Operando
Pozo C,2022-08-30,1342,2462,88.71,360,Mantenimiento
Pozo D,2022-01-19,2046,2201,102.16,74,Operando
Pozo C,2022-09-10,2016,2270,80.65,471,Operando
Pozo B,2022-01-05,2042,2218,90.74,467,Operando
Pozo B,2022-12-28,1251,2327,70.73,352,Cerrado
Pozo D,2022-04-28,1771,2320,95.85,255,Mantenimiento
Pozo D,2022-07-25,1828,2567,112.42,490,Mantenimiento
Pozo B,2022-08-18,2089,2461,100.83,58,Cerrado
Pozo A,2022-06-08,2014,2528,85.35,250,Cerrado
Pozo E,2022-01-13,1970,2561,75.07,197,Operando
Pozo C,2022-05-15,1147,2612,68.65,492,Operando
Pozo E,2022-03-27,1320,2002,87.53,182,Operando
Pozo D,2022-06-06,1562,2297,69.61,182,Cerrado
Pozo A,2022-09-05,1297,2259,88.34,130,Operando
Pozo A,2022-01-28,1908,2057,73.64,104,Mantenimiento
Pozo A,2022-12-22,1092,2239,119.35,314,Mantenimiento
Pozo A,2022-04-08,1371,2182,75.47,296,Operando
Pozo A,2022-11-09,978,2671,67.32,353,Cerrado
Pozo D,2022-05-10,1974,2714,92.82,136,Cerrado
Pozo D,2022-10-09,877,2307,119.72,482,Operando
Pozo C,2022-01-14,1631,2727,110.16,195,Cerrado
Pozo E,2022-01-27,2009,2321,111.0,437,Operando
Pozo D,2022-12-06,1950,2529,67.35,240,Operando
Pozo A,2022-06-23,905,2035,116.65,318,Mantenimiento
Pozo A,2022-04-24,2111,2463,66.99,79,Operando
Pozo D,2022-08-21,1977,2151,87.23,380,Operando
Pozo D,2022-07-09,1159,2395,75.21,188,Cerrado
Pozo B,2022-04-22,1011,2631,110.44,411,Operando
Pozo D,2022-03-27,1654,2410,71.31,99,Mantenimiento
Pozo B,2022-01-04,1936,2193,69.61,260,Cerrado
Pozo D,2022-10-05,1514,2667,100.1,138,Mantenimiento
Pozo A,2022-01-21,1109,2580,81.17,401,Cerrado
Pozo C,2022-05-26,2087,2505,93.11,485,Cerrado
Pozo D,2022-12-08,1758,2345,88.92,114,Cerrado
Pozo A,2022-08-26,2195,2439,80.42,325,Cerrado
Pozo A,2022-12-17,1580,2126,96.39,148,Cerrado
Pozo E,2022-12-24,1324,2663,72.01,420,Cerrado
Pozo E,2022-01-20,1139,2425,90.78,181,Cerrado
Pozo E,2022-12-31,1942,2689,102.87,389,Operando
Pozo E,2022-05-31,1719,2768,119.18,488,Operando
Pozo B,2022-06-26,1421,2047,95.17,209,Cerrado
Pozo E,2022-10-11,2188,2425,89.2,94,Operando
Pozo B,2022-09-22,1796,2342,61.15,258,Mantenimiento
Pozo D,2022-04-14,1912,2073,86.59,131,Cerrado
Pozo E,2022-02-04,1377,2472,104.72,403,Operando
Pozo C,2022-07-04,1458,2267,113.59,496,Operando
Pozo B,2022-12-19,1401,2274,62.85,403,Operando
Pozo A,2022-04-20,1377,2339,95.28,78,Cerrado
Pozo A,2022-12-23,1315,2180,84.18,99,Operando
Pozo B,2022-05-18,1814,2427,103.64,481,Cerrado
Pozo A,2022-08-19,1828,2301,74.89,238,Operando
Pozo E,2022-02-01,1122,2520,64.85,276,Mantenimiento
Pozo A,2022-04-06,1755,2377,102.67,493,Operando
Pozo C,2022-12-08,1686,2582,74.02,86,Cerrado
Pozo E,2022-01-10,1418,2229,111.31,392,Operando
Pozo A,2022-06-28,1151,2684,111.68,385,Cerrado
Pozo C,2022-10-30,1096,2530,103.0,325,Mantenimiento
Pozo B,2022-01-25,2164,2093,113.67,284,Operando
Pozo E,2022-07-25,1135,2400,88.81,167,Cerrado
Pozo C,2022-09-08,1888,2558,84.51,277,Operando
Pozo D,2022-03-01,1682,2600,110.06,144,Mantenimiento
Pozo E,2022-07-28,1262,2026,61.11,292,Mantenimiento
Pozo C,2022-04-28,1430,2022,104.62,150,Operando
Pozo D,2022-12-18,1646,2706,81.08,63,Cerrado
Pozo E,2022-10-04,2111,2433,92.61,432,Mantenimiento
Pozo E,2022-04-04,1059,2093,77.34,381,Cerrado
Pozo C,2022-12-08,1793,2464,60.77,106,Cerrado
Pozo C,2022-12-20,990,2139,85.28,53,Cerrado
Pozo D,2022-03-18,1687,2310,111.7,336,Mantenimiento
Pozo A,2022-10-08,1275,2087,67.35,298,Cerrado
Pozo C,2022-09-27,2064,2566,81.18,80,Mantenimiento
Pozo B,2022-03-09,1142,2434,71.45,228,Cerrado
Pozo D,2022-01-30,1329,2297,78.4,431,Cerrado
Pozo A,2022-10-04,1524,2667,110.54,382,Operando
Pozo A,2022-07-11,1486,2372,90.75,201,Cerrado
Pozo D,2022-11-06,1292,2401,94.48,423,Cerrado
Pozo B,2022-03-21,1052,2170,61.71,74,Mantenimiento
Pozo B,2022-06-30,1190,2610,63.32,97,Operando
Pozo A,2022-01-23,1526,2128,68.68,292,Cerrado
Pozo B,2022-12-26,1880,2554,90.45,144,Mantenimiento
Pozo E,2022-11-10,946,2236,91.25,209,Mantenimiento
Pozo E,2022-08-30,1550,2507,85.23,305,Mantenimiento
Pozo E,2022-07-06,1106,2395,99.29,434,Operando
Pozo B,2022-08-21,1506,2740,72.06,79,Cerrado
Pozo B,2022-04-26,1264,2335,91.0,339,Operando
Pozo C,2022-11-11,2026,2570,93.45,160,Mantenimiento
Pozo D,2022-08-18,1988,2440,81.53,208,Mantenimiento
Pozo C,2022-05-09,1394,2293,101.99,465,Mantenimiento
Pozo E,2022-09-22,2152,2585,94.6,209,Operando
Pozo C,2022-02-21,1832,2717,85.4,451,Mantenimiento
Pozo E,2022-02-14,1361,2119,65.06,443,Cerrado
Pozo D,2022-06-01,1071,2356,116.51,289,Cerrado
Pozo A,2022-02-09,2018,2429,72.25,331,Mantenimiento
Pozo E,2022-09-15,1731,2569,68.89,133,Operando
Pozo D,2022-01-10,1286,2605,85.12,259,Operando
Pozo D,2022-08-14,1214,2776,111.42,75,Mantenimiento
Pozo B,2022-01-25,1317,2056,111.19,398,Operando
Pozo A,2022-10-17,1132,2472,79.26,87,Operando
Pozo E,2022-04-02,1273,2596,97.68,470,Mantenimiento
Pozo D,2022-09-13,2020,2693,119.25,72,Cerrado
Pozo B,2022-10-30,1213,2612,112.0,343,Operando
Pozo B,2022-03-03,1121,2404,95.11,110,Cerrado
Pozo D,2022-04-13,2036,2750,115.89,297,Mantenimiento
Pozo B,2022-02-18,1508,2067,76.86,366,Cerrado
Pozo A,2022-08-04,2032,2098,99.88,378,Cerrado
Pozo A,2022-12-12,1747,2284,71.56,216,Cerrado
Pozo B,2022-09-21,2171,2515,80.42,463,Operando
Pozo C,2022-05-11,1807,2640,118.75,274,Mantenimiento
Pozo B,2022-09-08,923,2785,69.29,136,Cerrado
Pozo C,2022-04-17,1913,2555,90.92,179,Mantenimiento
Pozo D,2022-12-20,957,2688,81.0,397,Cerrado
Pozo B,2022-09-21,1568,2674,92.34,163,Cerrado
Pozo A,2022-09-28,1275,2460,93.65,104,Mantenimiento
Pozo E,2022-02-14,831,2774,70.54,354,Operando
Pozo E,2022-02-19,1616,2056,91.58,173,Operando
Pozo B,2022-09-09,1240,2707,115.05,194,Cerrado
Pozo B,2022-04-21,1743,2701,115.53,459,Cerrado
Pozo A,2022-11-05,2143,2087,108.2,117,Cerrado
Pozo B,2022-07-03,2089,2058,98.27,263,Operando
Pozo B,2022-04-24,1626,2421,100.25,425,Operando
Pozo B,2022-03-10,1265,2297,85.69,499,Mantenimiento
Pozo D,2022-01-30,800,2702,96.99,145,Cerrado
Pozo C,2022-12-05,1019,2353,109.98,292,Operando
Pozo E,2022-12-12,2146,2408,89.65,278,Operando
Pozo B,2022-02-17,1060,2236,82.28,181,Mantenimiento
Pozo A,2022-08-16,1490,2209,109.02,347,Mantenimiento
Pozo B,2022-06-27,1840,2514,71.02,341,Operando
Pozo D,2022-08-10,830,2673,67.25,229,Operando
Pozo A,2022-02-22,856,2664,64.11,378,Cerrado
Pozo D,2022-09-28,2157,2059,99.55,425,Cerrado
Pozo D,2022-05-02,1690,2097,82.5,227,Cerrado
Pozo C,2022-06-30,1456,2721,74.85,414,Operando
Pozo A,2022-09-16,1765,2639,86.91,164,Operando
Pozo B,2022-01-23,1994,2047,106.8,227,Cerrado
Pozo E,2022-03-21,1842,2274,76.47,494,Mantenimiento
Pozo D,2022-02-04,2172,2677,74.65,350,Mantenimiento
Pozo A,2022-11-03,1332,2715,64.72,148,Operando
Pozo B,2022-06-13,842,2743,60.33,170,Operando
Pozo D,2022-11-03,1086,2171,102.59,376,Mantenimiento
Pozo A,2022-03-15,1007,2765,106.57,480,Cerrado
Pozo B,2022-01-20,1217,2575,86.09,142,Mantenimiento
Pozo E,2022-09-28,1864,2049,61.0,359,Operando
Pozo C,2022-11-14,1848,2726,89.03,353,Mantenimiento
Pozo E,2022-03-29,1414,2601,83.55,388,Operando
Pozo C,2022-05-08,1009,2465,115.68,193,Mantenimiento
Pozo E,2022-05-08,1823,2578,98.76,62,Operando
Pozo A,2022-12-12,2059,2220,65.58,74,Operando
Pozo B,2022-11-11,1542,2731,92.43,223,Operando
Pozo A,2022-12-30,1242,2651,76.28,138,Mantenimiento
Pozo D,2022-05-05,2175,2286,63.16,110,Mantenimiento
Pozo D,2022-01-09,1266,2761,97.22,131,Mantenimiento
Pozo D,2022-03-15,830,2735,83.61,84,Cerrado
Pozo C,2022-03-10,1914,2214,85.96,272,Mantenimiento
Pozo B,2022-12-08,1499,2537,100.27,111,Cerrado
Pozo E,2022-01-27,2105,2334,84.02,473,Cerrado
Pozo B,2022-09-20,1314,2128,88.02,376,Cerrado
Pozo E,2022-01-16,1429,2716,72.73,210,Mantenimiento
Pozo E,2022-07-20,1352,2444,119.83,347,Operando
Pozo A,2022-06-26,1938,2602,74.87,231,Operando
Pozo C,2023-01-01,2179,2392,77.12,65,Operando
Pozo C,2022-09-08,1295,2626,67.07,248,Operando
Pozo D,2022-09-12,1777,2675,91.11,232,Cerrado
Pozo E,2022-08-15,1400,2110,73.72,267,Operando
Pozo D,2022-08-17,1142,2745,61.93,391,Cerrado
Pozo E,2022-08-25,1252,2012,98.92,211,Operando
Pozo B,2022-06-24,894,2340,85.52,318,Operando
Pozo C,2022-03-23,1408,2348,63.62,179,Operando
Pozo E,2022-06-07,1777,2081,65.55,281,Operando
Pozo D,2022-07-08,962,2528,70.58,372,Cerrado
Pozo B,2022-09-08,2044,2596,91.26,402,Cerrado
Pozo B,2022-07-25,912,2493,106.37,80,Mantenimiento
Pozo A,2022-05-08,1028,2589,85.89,437,Operando
Pozo B,2022-05-17,1937,2782,115.94,236,Mantenimiento
Pozo E,2022-02-14,1654,2706,114.28,343,Cerrado
Pozo E,2022-05-31,837,2383,116.26,295,Cerrado
Pozo D,2022-02-08,1319,2034,74.6,97,Mantenimiento
Pozo E,2022-09-26,1374,2573,88.9,255,Mantenimiento
Pozo C,2022-03-08,1194,2796,74.17,176,Mantenimiento
Pozo D,2022-02-22,1238,2221,62.75,301,Operando
Pozo E,2022-12-08,2039,2616,82.41,480,Operando
Pozo D,2022-01-18,1895,2613,105.4,323,Mantenimiento
Pozo A,2022-08-14,1784,2266,102.78,429,Operando
Pozo E,2022-05-16,1492,2757,64.86,70,Mantenimiento
Pozo B,2022-03-17,1509,2665,70.18,231,Operando
Pozo B,2022-07-21,1136,2310,98.27,336,Mantenimiento
Pozo C,2022-11-17,1685,2092,83.44,98,Operando
Pozo C,2022-10-31,897,2388,113.9,104,Operando
Pozo C,2022-11-03,1951,2568,77.67,255,Operando
Pozo B,2022-06-26,1128,2201,67.37,132,Cerrado
Pozo C,2022-08-15,2141,2001,86.21,399,Cerrado
Pozo B,2022-12-17,1064,2038,97.92,218,Mantenimiento
Pozo B,2022-06-18,2131,2763,71.81,358,Cerrado
Pozo D,2022-10-04,1014,2156,69.22,155,Operando
Pozo E,2022-09-17,850,2296,77.93,157,Operando
Pozo A,2022-04-02,1629,2101,77.31,360,Operando
Pozo B,2022-08-29,869,2691,103.22,431,Mantenimiento
Pozo D,2022-11-14,1675,2727,85.65,161,Mantenimiento
Pozo E,2022-02-06,1274,2456,67.54,439,Mantenimiento
Pozo D,2022-06-14,1517,2614,84.46,154,Mantenimiento
Pozo C,2022-02-06,919,2040,77.69,100,Operando
Pozo D,2022-06-28,1933,2432,100.97,189,Mantenimiento
Pozo E,2022-06-22,1329,2034,75.52,371,Operando
Pozo C,2022-07-25,877,2329,93.68,204,Operando
Pozo E,2022-02-14,972,2195,92.11,320,Cerrado
Pozo A,2022-08-09,1785,2704,98.77,314,Mantenimiento
Pozo D,2022-10-05,2159,2246,112.92,433,Operando
Pozo C,2022-10-16,1598,2564,111.88,263,Cerrado
Pozo A,2022-03-17,2014,2746,79.76,301,Cerrado
Pozo B,2022-08-12,1439,2355,90.83,380,Cerrado
Pozo A,2022-05-17,998,2144,106.99,497,Mantenimiento
Pozo A,2022-12-14,2133,2611,98.28,417,Mantenimiento
Pozo E,2022-04-19,2135,2766,62.81,348,Cerrado
Pozo C,2022-08-13,2065,2661,106.98,367,Mantenimiento
Pozo C,2022-07-30,1290,2714,103.59,120,Cerrado
Pozo B,2022-01-05,1607,2111,117.36,279,Mantenimiento
Pozo A,2022-11-10,1528,2130,113.32,470,Cerrado
Pozo B,2022-09-01,1834,2739,111.62,488,Operando
Pozo C,2022-03-24,1636,2284,74.09,431,Cerrado
Pozo D,2022-03-17,1129,2249,60.54,329,Mantenimiento
Pozo A,2022-11-09,1744,2424,70.12,287,Cerrado
Pozo D,2022-03-22,911,2256,60.41,85,Mantenimiento
Pozo A,2022-06-25,961,2102,115.58,107,Mantenimiento
Pozo C,2022-08-28,1078,2364,72.04,150,Mantenimiento
Pozo D,2022-08-17,876,2431,99.48,119,Cerrado
Pozo E,2022-02-28,1514,2400,104.98,269,Mantenimiento
Pozo B,2022-01-24,879,2304,82.35,234,Cerrado
Pozo C,2022-06-12,1434,2492,102.02,178,Cerrado
Pozo E,2022-05-07,1767,2758,90.68,359,Operando
Pozo A,2022-05-16,1507,2118,66.35,213,Cerrado
Pozo A,2022-06-22,1616,2297,117.69,110,Operando
Pozo B,2022-01-31,908,2368,74.55,397,Mantenimiento
Pozo E,2022-09-16,1665,2415,73.34,387,Operando
Pozo B,2022-07-19,2116,2690,98.51,311,Operando
Pozo D,2022-04-01,1011,2209,68.69,335,Operando
Pozo B,2022-11-02,1652,2423,101.32,310,Mantenimiento
Pozo B,2022-11-17,1979,2291,62.6,340,Mantenimiento
Pozo D,2022-12-23,2002,2736,95.39,207,Mantenimiento
Pozo E,2022-04-25,1927,2750,68.93,155,Cerrado
